,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0, ,The offspring will show the dominant colour,a2,arg68816,arg68476,arg68816_arg68476,rr,b2dc02b7b0620f746fd7977a3e3e63,1
1,The offspring will show the dominant colour, ,a1,arg68476,arg69795,arg68476_arg69795,wr,4a730a98476c4fc12a6844507b416c,-1
2,look at progeny of parent cross ,The offspring will show the dominant colour,a2,arg71811,arg68476,arg71811_arg68476,rr,e76157e16bb5609476c036748a4d5c,1
3,The offspring will show the dominant colour,both homozygous so f1 is good enough,a1,arg68476,arg72251,arg68476_arg72251,rr,6fd733ce744be25ce02e000dcdac24,-1
4,F1 génération shows dominant phenotype,The offspring will show the dominant colour,a2,arg73051,arg68476,arg73051_arg68476,rr,83298ffad1d5c1507c9d8cc4371e8a,1
5,The offspring will show the dominant colour,  ,a1,arg68476,arg73264,arg68476_arg73264,wr,329e19bb2972198cb210a34be61978,-1
6,because,The offspring will show the dominant colour,a2,arg77864,arg68476,arg77864_arg68476,rr,57f5ae976a72c13b7d304c721b0a08,1
7,The offspring will show the dominant colour,",",a1,arg68476,arg78364,arg68476_arg78364,rr,3c51f38cd05bf8261f066dceafb818,-1
8,cool,The offspring will show the dominant colour,a2,arg78913,arg68476,arg78913_arg68476,rr,0be0ff8557741e78e06fc316bfeeec,1
9,The offspring will show the dominant colour,duh,a1,arg68476,arg81398,arg68476_arg81398,rr,8049cb3934a4b0f869218b4bdd1d4b,-1
10,.,The offspring will show the dominant colour,a2,arg82353,arg68476,arg82353_arg68476,rr,c1f78f0089c2c77e77a091b47cca2b,1
11,The offspring will show the dominant colour,F1 will be dominant Aa,a1,arg68476,arg86398,arg68476_arg86398,rr,710f05a894e40d30408e624d812a4b,-1
12,.,The offspring will show the dominant colour,a2,arg86965,arg68476,arg86965_arg68476,rr,48b961f1db3dd4876b16e703f47af2,1
13,The offspring will show the dominant colour,.,a1,arg68476,arg87612,arg68476_arg87612,rr,49576fcc061976107dfa27c933b67d,-1
14,F1 show the dominant phenotype,The offspring will show the dominant colour,a2,arg93092,arg68476,arg93092_arg68476,rr,8802245ba48176f94d3f163c97d717,1
15,The offspring will show the dominant colour,Their offspring will be the dominant genotype,a1,arg68476,arg105163,arg68476_arg105163,rr,9bd4ca10705470328068efc939c871,-1
16,"all heterozygous so dominant will show in phenotype
",The offspring will show the dominant colour,a2,arg105872,arg68476,arg105872_arg68476,rr,1eac226fa2a7a10fc647fecd01a00e,1
17,The offspring will show the dominant colour,logic,a1,arg68476,arg106041,arg68476_arg106041,rr,825211c8efc74825daf62ea343070c,-1
18,F1 progeny of test cross show dominant trait,The offspring will show the dominant colour,a2,arg111653,arg68476,arg111653_arg68476,rr,54b5fd31243de08ea4b8f00b4966e9,1
19,AAxaa = all offspring are homozygous for dominant trait ,c,a1,arg71847,arg72295,arg71847_arg72295,wr,f5e4fff3a4a9605b12629bf4cac95f,-1
