,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,with a recessive homozygote,A test cross can help genotype a plant,a2,arg74585,arg69912,arg74585_arg69912,rr,3f8c6489c0aa8afc2efe365be73175,1
1,A test cross can help genotype a plant, ,a1,arg69912,arg74750,arg69912_arg74750,rr,b2dc02b7b0620f746fd7977a3e3e63,-1
2,.,A test cross can help genotype a plant,a2,arg78099,arg69912,arg78099_arg69912,rr,ee7b40f08ecc3e6ceca31a6f6b2a5d,1
3,A test cross can help genotype a plant,Di,a1,arg69912,arg78538,arg69912_arg78538,wr,f83e757fc9e0755b64fe6e172527ae,-1
4, ,A test cross can help genotype a plant,a2,arg78839,arg69912,arg78839_arg69912,rr,708754cef412a0e37feac91458b8fc,1
5,A test cross can help genotype a plant,Test cross express only the phenotype of the parent with unknown genotype.,a1,arg69912,arg79408,arg69912_arg79408,rr,8802245ba48176f94d3f163c97d717,-1
6,e,A test cross can help genotype a plant,a2,arg80871,arg69912,arg80871_arg69912,rr,c1b78ab4dbd2ab5405cde4e9275677,1
7,A test cross can help genotype a plant,q,a1,arg69912,arg81132,arg69912_arg81132,rr,c11828d46b53cbf827f3a1903a57ce,-1
8,Test cross. F1 progeny will all express the purple trait if purple flore is homozygous dominant.,A test cross can help genotype a plant,a2,arg83340,arg69912,arg83340_arg69912,rr,83298ffad1d5c1507c9d8cc4371e8a,1
9,A test cross can help genotype a plant,Test cross to find it,a1,arg69912,arg91627,arg69912_arg91627,rr,9c879c20dda43dc90748042d0eb20f,-1
10,oihgf,A test cross can help genotype a plant,a2,arg94634,arg69912,arg94634_arg69912,rr,0bb1b73bf390a7f789aa2b784a5f47,1
11,A test cross can help genotype a plant,wgregrd,a1,arg69912,arg97238,arg69912_arg97238,rr,299fca65b4a9087fdb025b7f11cf4c,-1
12,yes,A test cross can help genotype a plant,a2,arg97520,arg69912,arg97520_arg69912,rr,b3e7bae43ae19a10a6ff766e0972d0,1
13,A test cross can help genotype a plant,just like this,a1,arg69912,arg100455,arg69912_arg100455,rr,6bb07ec8918333ecde1b6697bf38f0,-1
14,test cross against a homozygous recessive,A test cross can help genotype a plant,a2,arg102363,arg69912,arg102363_arg69912,rr,2d622cf72648bca831a62b29d9a7ad,1
15,A test cross can help genotype a plant,this will help,a1,arg69912,arg104912,arg69912_arg104912,rr,268002bfc7fcb28d6bdc37f9256674,-1
16,To figur eit out,A test cross can help genotype a plant,a2,arg106797,arg69912,arg106797_arg69912,rr,c275a3dcaee83c830c11a05eb20c49,1
17,A test cross can help genotype a plant,test cross identifies genotypes,a1,arg69912,arg107157,arg69912_arg107157,rr,d5cb6aac310874f98e2fec71d14a59,-1
18,literally the definition,A test cross can help genotype a plant,a2,arg107322,arg69912,arg107322_arg69912,rr,c0ea6e7059333dd78629a86303cbeb,1
19,A test cross can help genotype a plant,ewegregre,a1,arg69912,arg138194,arg69912_arg138194,rr,417272a507f564ef3bfe9e7ea99568,-1
20,n mjnkknk,A test cross can help genotype a plant,a2,arg138495,arg69912,arg138495_arg69912,rr,1a91f81232778722fa77d9a510dfbe,1
21,A test cross with a recessive mate will allow the determination of whether its genotype is AA (in which case all offspring will be purple) or Aa (in which case offspring will be half purple half white),Testcross allows you to determine the genotype of the unknown parent because the tester's genotype is silence in the phenotype,a1,arg75116,arg75248,arg75116_arg75248,rr,6726b97cb4a2a241b4f7d720d97cb9,-1
22,A test cross will yield progeny that resemble the genotype of the subject being tested.,A test cross with a recessive mate will allow the determination of whether its genotype is AA (in which case all offspring will be purple) or Aa (in which case offspring will be half purple half white),a2,arg92975,arg75116,arg92975_arg75116,rr,f277e27b0b9f9b9d37fcae54939ac0,1
23,A test cross with a recessive mate will allow the determination of whether its genotype is AA (in which case all offspring will be purple) or Aa (in which case offspring will be half purple half white),"A test cross is used to determine the genotype of an individual with the dominant phenotype- purple is the dominant one, so this would require a test cross.",a1,arg75116,arg184932,arg75116_arg184932,rr,2435b9cc294a9a0628a2a6e58d36cf,-1
