,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0, ,"F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",a2,arg74743,arg60475,arg74743_arg60475,wr,b2dc02b7b0620f746fd7977a3e3e63,1
1,"F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,a1,arg60475,arg74989,arg60475_arg74989,rr,5215938d825754a49c1fbcc2d5ba04,-1
2,"The F1 generation were all normal and most of the F2 are normal, making it likely to be recessive. Two gene mutant because there is a set of small eyes and another with none. ","F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",a2,arg75050,arg60475,arg75050_arg60475,rr,27f1d1fa9e405d34c4645bfa23e2ed,1
3,"F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",uwu,a1,arg60475,arg75093,arg60475_arg75093,rr,51c8aa81265b76c2eafafaddf7f0f1,-1
4, ,"F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",a2,arg78112,arg60475,arg78112_arg60475,rr,dd1b4189a8ac774a3a58a6ffd278d1,1
5,"F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",The cross must have been ww x Ww. ,a1,arg60475,arg79058,arg60475_arg79058,wr,c70b026abee043e70c2b568d7ad4d4,-1
6,9:3:1 ,"F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",a2,arg99768,arg60475,arg99768_arg60475,rr,412a550222b21703c1ab6f70a7d63e,1
7,"F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",this is my answer,a1,arg60475,arg100345,arg60475_arg100345,wr,96ed979478b16ca14f76ec22e59881,-1
8,9:3:3:1,"F1 tells you it is recessive, F2 tells you that 2 genes are affected (variation of 9:3:3:1 ratio)
",a2,arg100679,arg60475,arg100679_arg60475,rr,d4db6473770e13b88e945e6d720b09,1
9,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,j,a1,arg74989,arg75026,arg74989_arg75026,wr,c0b0fe9e84013a644bb70cd23c69a6,-1
10,Recessive because the wild type is produced in greater quantity in F2.,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,a2,arg75229,arg74989,arg75229_arg74989,wr,6726b97cb4a2a241b4f7d720d97cb9,1
11,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,"9:3:3:1 ratio. However, the 9 and 3 are combined,making a 12:3:1 ratio.",a1,arg74989,arg77771,arg74989_arg77771,rr,468d9835aa2dd2ba5ab16b54ebfbc1,-1
12,Know for sure it's recessive because of the F1 progeny. Number of gene mutant I'm not sure. ,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,a2,arg78205,arg74989,arg78205_arg74989,rr,f9492d6919058d9e266fd90f87a2c3,1
13,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. , ,a1,arg74989,arg78313,arg74989_arg78313,rr,160bdea33fc0de01bc7240ac29693d,-1
14,"It’s two genes because of it’s ratios. Recessive because only 1/16 has no eyes, which would mean that it is a recessive trait for both genes.",Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,a2,arg79155,arg74989,arg79155_arg74989,rr,8802245ba48176f94d3f163c97d717,1
15,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,Because F1 is all wild type phenotype.,a1,arg74989,arg81108,arg74989_arg81108,wr,54b602f8b6cbd39d1d6e2ec8f5b893,-1
16,"recessive bc the eyeless phenotype skipped a generation, and im guessing 2 gene bc of the F1 x F1 cross that produced a 9:3:1 ratio (weird)",Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,a2,arg81419,arg74989,arg81419_arg74989,rr,cb46ddd5247e6998bfafd9754c1f38,1
17,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,Consistent with 2 gene mutant,a1,arg74989,arg81967,arg74989_arg81967,rr,5c8f45fd300963b510e5e583a85f7a,-1
18,Recessive because in low fréquence in the F2 population. Not sure for the number of genes however.,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,a2,arg82476,arg74989,arg82476_arg74989,rr,83298ffad1d5c1507c9d8cc4371e8a,1
19,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,.,a1,arg74989,arg82796,arg74989_arg82796,rr,c1f78f0089c2c77e77a091b47cca2b,-1
20,Because the only thing being effected is eyes,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,a2,arg83174,arg74989,arg83174_arg74989,wr,49608560fb63a67dcb73693d0ceda4,1
21,Must be recessive as the F1 generation is entirely wild type. The some small eyes some no eyes implies multiple genes. ,..,a1,arg74989,arg86729,arg74989_arg86729,rr,e969de6f57d3ccca6cfb4d0560708d,-1
