,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,Metaphase precedes anaphase,Chromosomes decondense during telophase,a2,arg75169,arg71941,arg75169_arg71941,wr,51c8aa81265b76c2eafafaddf7f0f1,1
1,Chromosomes decondense during telophase, ,a1,arg71941,arg75653,arg71941_arg75653,rr,c0b0fe9e84013a644bb70cd23c69a6,-1
2,it is the end of mitosis ,Chromosomes decondense during telophase,a2,arg77852,arg71941,arg77852_arg71941,rr,3340368556c1c3339d531fe5657a11,1
3,Chromosomes decondense during telophase, ,a1,arg71941,arg78024,arg71941_arg78024,wr,ba2195b8613d1aa0855a6a7d789f3f,-1
4,n ,Chromosomes decondense during telophase,a2,arg78085,arg71941,arg78085_arg71941,rr,f5e4fff3a4a9605b12629bf4cac95f,1
5,Chromosomes decondense during telophase, ,a1,arg71941,arg78877,arg71941_arg78877,rr,708754cef412a0e37feac91458b8fc,-1
6,ye,Chromosomes decondense during telophase,a2,arg79040,arg71941,arg79040_arg71941,rr,841dca9eb28915b9a1d1de4bcdf39b,1
7,Chromosomes decondense during telophase,lh,a1,arg71941,arg80628,arg71941_arg80628,rr,190ec1ad3c385f00ec7c5e8cd08a2b,-1
8,n,Chromosomes decondense during telophase,a2,arg80919,arg71941,arg80919_arg71941,rr,c1b78ab4dbd2ab5405cde4e9275677,1
9,Chromosomes decondense during telophase,q,a1,arg71941,arg81200,arg71941_arg81200,rr,c11828d46b53cbf827f3a1903a57ce,-1
10,"Seems right, maybe anaphase?",Chromosomes decondense during telophase,a2,arg82026,arg71941,arg82026_arg71941,rr,5c8f45fd300963b510e5e583a85f7a,1
11,Chromosomes decondense during telophase,.,a1,arg71941,arg87933,arg71941_arg87933,rr,48b961f1db3dd4876b16e703f47af2,-1
12,h,Chromosomes decondense during telophase,a2,arg94669,arg71941,arg94669_arg71941,rr,0bb1b73bf390a7f789aa2b784a5f47,1
13,Chromosomes decondense during telophase,.,a1,arg71941,arg96774,arg71941_arg96774,rr,ec0af916fb5a693fb11f8fe27aa0c6,-1
14,..,Chromosomes decondense during telophase,a2,arg96948,arg71941,arg96948_arg71941,rr,5cedf21fe930c659b63d770023ff7e,1
15,Chromosomes decondense during telophase,nn,a1,arg71941,arg97270,arg71941_arg97270,rr,299fca65b4a9087fdb025b7f11cf4c,-1
16,yup,Chromosomes decondense during telophase,a2,arg97538,arg71941,arg97538_arg71941,rr,b3e7bae43ae19a10a6ff766e0972d0,1
17,Chromosomes decondense during telophase,duh?,a1,arg71941,arg99455,arg71941_arg99455,rr,3e179fba728baed8c01e997ac36184,-1
18,...........,Chromosomes decondense during telophase,a2,arg100578,arg71941,arg100578_arg71941,wr,6bb07ec8918333ecde1b6697bf38f0,1
19,Chromosomes decondense during telophase,telophase,a1,arg71941,arg105631,arg71941_arg105631,rr,3742dea18a0847c333b9bf8826a931,-1
20,sounds oright,Chromosomes decondense during telophase,a2,arg107355,arg71941,arg107355_arg71941,rr,c0ea6e7059333dd78629a86303cbeb,1
