,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,the product rule,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,a2,arg68768,arg68470,arg68768_arg68470,rr,ee7b40f08ecc3e6ceca31a6f6b2a5d,1
1,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16, ,a1,arg68470,arg68823,arg68470_arg68823,rr,b2dc02b7b0620f746fd7977a3e3e63,-1
2, ,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,a2,arg70867,arg68470,arg70867_arg68470,rr,dd1b4189a8ac774a3a58a6ffd278d1,1
3,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,Multiply ,a1,arg68470,arg77900,arg68470_arg77900,rr,57f5ae976a72c13b7d304c721b0a08,-1
4,  ,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,a2,arg81056,arg68470,arg81056_arg68470,rr,c11828d46b53cbf827f3a1903a57ce,1
5,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16, ,a1,arg68470,arg87076,arg68470_arg87076,rr,75151c3099ca1bb0987f709884fe02,-1
6,3/4 * 1/4 = 3/16,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,a2,arg91354,arg68470,arg91354_arg68470,rr,3a2eaf4f9c8c79bfa77887eef620ad,1
7,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,multiply,a1,arg68470,arg104713,arg68470_arg104713,rr,268002bfc7fcb28d6bdc37f9256674,-1
8,"multiple
",The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,a2,arg105889,arg68470,arg105889_arg68470,rr,1eac226fa2a7a10fc647fecd01a00e,1
9,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,"If both of them are occuring at the same time, then we are looking at the probability of both independent events occuring. This then means that we use the product rule so the answer is D",a1,arg68470,arg192032,arg68470_arg192032,rr,5d5c9eeee8f714934b249eebfabd8b,-1
10,Multiplication of those two numbers. Both events must occur so the product rule is applied,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,a2,arg193029,arg68470,arg193029_arg68470,rr,dd2d014da2e300a181076dbb085e70,1
11,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,3/4 x 1/4 results in 3/16 is both event A and event B are to occur at the same time,a1,arg68470,arg193151,arg68470_arg193151,rr,0674751acab1b3c6ce09ea354902f9,-1
12,What is the general demographic of the tenants here? Is it family friendly? Targeted for singles?,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,a2,arg193194,arg68470,arg193194_arg68470,rr,11f1a8875488de92d068d9568ca86d,1
13,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,"hen the probability of both A and B occurring at the same time is 3/4x1/4=3/16
prob of 2 independent events is the product",a1,arg68470,arg194743,arg68470_arg194743,rr,1182fd51f65265d9fa0f215476622e,-1
14,need to multiply the probabilities together so ya d is right,The probability of 2 events both occurring is the product of the two individual event's probabilities. 3/4 x 1/4 = 3/16,a2,arg195494,arg68470,arg195494_arg68470,rr,3962319de8a4da9a4d63bd889e1904,1
