,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"28% are crossovers, so half of those are the one we are looking for. 14%","A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",a2,arg131755,arg60073,arg131755_arg60073,wr,e7a4172d989b21cb4c8cce7fe7fc74,1
1,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",28% of time the gametes will be Ab or aB. the percent of total progeny that are aB/ab is half of 28%= 14%.,a1,arg60073,arg135959,arg60073_arg135959,wr,3bd5550c3c04ab9f5d9d55cfba6d09,-1
2,25% chance of that genotype times the 28% chiasmata rate which is necessary to create one of the recombination offspring.,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",a2,arg141907,arg60073,arg141907_arg60073,rr,f277e27b0b9f9b9d37fcae54939ac0,1
3,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",It must be 28 since this is the distance between the two genes that crossed over.,a1,arg60073,arg198112,arg60073_arg198112,wr,cbb9fa693c1e4428d91dc12815d88f,-1
4,"A plant of phenotype A B/a b is testcrossed to a b/a b. In 72% of the meioses, there were no chiasmata between the linked genes; in 28% of the meioses, there was one chiasma between the genes. What proportion of the progeny will be a B/a b?","A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",a2,arg201808,arg60073,arg201808_arg60073,wr,a4efbb59c3f3cc914065e25300dae6,1
5,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.","A plant of phenotype A B/a b is testcrossed to a b/a b. In 72% of the meioses, there were no chiasmata between the linked genes; in 28% of the meioses, there was one chiasma between the genes. What proportion of the progeny will be a B/a b?",a1,arg60073,arg205472,arg60073_arg205472,rr,b7df7271f31c316697bac696957a39,-1
6,"1/4 of the 28% that are linked will be aB/ab. (it's 50% in the punnett square, but you must divide by two because the genes are linked).","A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",a2,arg205473,arg60073,arg205473_arg60073,rr,4e7305ce0785ced96cbefd06ad8bf1,1
7,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.","Frankowski BL, Bocchini JA Jr; Council on School Health and Committee on Infectious Diseases. Head lice. Pediatrics. 2010;126(2):392-403.",a1,arg60073,arg206861,arg60073_arg206861,wr,b30634abcfd3a2d844029f291f1dc1,-1
8,"A 28% chance of chiasmata between linked genes means that recombination will appear in ~28% of the offspring. Because we are dealing with a specific recombination of aB , it will have half of the overall amount/probability of recombination.","A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",a2,arg207060,arg60073,arg207060_arg60073,wr,d39d466679b501c793e600814de177,1
9,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.","If there is a 28% recombinant rate, then the amount being the a B/ a b will be 28%.",a1,arg60073,arg208251,arg60073_arg208251,wr,5787ac10acb9bfb152860b9b9cda29,-1
10,"By doing Punnett squares, we know that 1/4 of 72% of the non-chiasmata meiosis will result in aaBb (18%).","A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",a2,arg208852,arg60073,arg208852_arg60073,wr,c7193b8efa71596d7f375bc34271f6,1
11,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.","since 2/4 chromatids are crossing over, the recombinant frequency = 14% and therefore the chances of aB gamete is 7.",a1,arg60073,arg209328,arg60073_arg209328,rr,72c895b304c0a6e1c658df40cea1e5,-1
12,"A plant of phenotype A B/a b is testcrossed to a b/a b. In 72% of the meioses, there were no chiasmata between the linked genes; in 28% of the meioses, there was one chiasma between the genes. What proportion of the progeny will be a B/a b?","A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",a2,arg209759,arg60073,arg209759_arg60073,rr,330003db9664bb30ca2002dbddceea,1
13,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.","If there is 1 chiasma, that means that 2 of the 4 sister chromatids crossed over and produced recombinants, thus 28/2=14% are recombinants. Since the parents are AB/ab x ab/ab, the parental gametes are AB and ab. aB/ab (phenotype aB) is thus one of the two possible recombinants, and represents 14/2 = 7% of progeny.",a1,arg60073,arg211085,arg60073_arg211085,rr,efc05df18d8858affef8a46c97598b,-1
14,I'm not entirely sure I don't know how to calculate it either.,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.",a2,arg212356,arg60073,arg212356_arg60073,wr,bf9c688799bd0587f7eabab4295383,1
15,"A single chiasma only involves 2 chromatids, thus only half of the gametes produced from a meiosis with a chiasma will be recombinant. Thus the RF = 14% (not 28%), and only half of the recombinants are aB, thus 7%.","Since 28 is the proportion that will have crossover and therefore recombination on one chromosome, only one of the chromosomes differ from a parental parent so it is half of 28.",a1,arg60073,arg214332,arg60073_arg214332,wr,634bc5e919b7b373e3c2762d59bf25,-1
