,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,phenotype is what one can observe,Phenotype is the physical manifestation of an individual's genotype,a2,arg68735,arg68497,arg68735_arg68497,rr,ee7b40f08ecc3e6ceca31a6f6b2a5d,1
1,Phenotype is the physical manifestation of an individual's genotype, ,a1,arg68497,arg68806,arg68497_arg68806,rr,b2dc02b7b0620f746fd7977a3e3e63,-1
2,Definition,Phenotype is the physical manifestation of an individual's genotype,a2,arg69557,arg68497,arg69557_arg68497,rr,710f05a894e40d30408e624d812a4b,1
3,Phenotype is the physical manifestation of an individual's genotype, ,a1,arg68497,arg70835,arg68497_arg70835,rr,dd1b4189a8ac774a3a58a6ffd278d1,-1
4,what you see ,Phenotype is the physical manifestation of an individual's genotype,a2,arg71803,arg68497,arg71803_arg68497,rr,e76157e16bb5609476c036748a4d5c,1
5,Phenotype is the physical manifestation of an individual's genotype,.,a1,arg68497,arg71839,arg68497_arg71839,rr,99e13597aca888836f3437b617fdc8,-1
6,phy,Phenotype is the physical manifestation of an individual's genotype,a2,arg72282,arg68497,arg72282_arg68497,rr,f5e4fff3a4a9605b12629bf4cac95f,1
7,Phenotype is the physical manifestation of an individual's genotype,Ez.,a1,arg68497,arg72481,arg68497_arg72481,rr,5cedf21fe930c659b63d770023ff7e,-1
8,n,Phenotype is the physical manifestation of an individual's genotype,a2,arg72615,arg68497,arg72615_arg68497,rr,c0b0fe9e84013a644bb70cd23c69a6,1
9,Phenotype is the physical manifestation of an individual's genotype, ,a1,arg68497,arg72685,arg68497_arg72685,rr,ba2195b8613d1aa0855a6a7d789f3f,-1
10,Genotypes are heritable from the fundamental genes of an organism.,Phenotype is the physical manifestation of an individual's genotype,a2,arg73963,arg68497,arg73963_arg68497,rr,7ea529b30604b488c4b5adf2e6fabc,1
11,Phenotype is the physical manifestation of an individual's genotype,"Base on genotype, so it is the heritable property of the organism.",a1,arg68497,arg75377,arg68497_arg75377,wr,91b81abeeb3dd5b4f163738528596a,-1
12,"The phenotype is the observable trait which represents the genotypes 
the appearance of a particular trait",Phenotype is the physical manifestation of an individual's genotype,a2,arg75835,arg68497,arg75835_arg68497,rr,b27b4bb4927884566ec40cf4a4fb06,1
13,Phenotype is the physical manifestation of an individual's genotype,h,a1,arg68497,arg76496,arg68497_arg76496,rr,8eb203e403c4e4f5ad0c22b0a6c240,-1
14,phenotype is what you observe,Phenotype is the physical manifestation of an individual's genotype,a2,arg77718,arg68497,arg77718_arg68497,rr,3340368556c1c3339d531fe5657a11,1
15,Phenotype is the physical manifestation of an individual's genotype, ,a1,arg68497,arg77727,arg68497_arg77727,rr,14899b064827f55df8c48614f4274f,-1
16,Phenotype = physical ( what we see),Phenotype is the physical manifestation of an individual's genotype,a2,arg77804,arg68497,arg77804_arg68497,rr,6726b97cb4a2a241b4f7d720d97cb9,1
17,Phenotype is the physical manifestation of an individual's genotype,l,a1,arg68497,arg78293,arg68497_arg78293,rr,065848127b9d0b9b206a17ee151b73,-1
18,.,Phenotype is the physical manifestation of an individual's genotype,a2,arg78339,arg68497,arg78339_arg68497,rr,3c51f38cd05bf8261f066dceafb818,1
19,Phenotype is the physical manifestation of an individual's genotype,def,a1,arg68497,arg78629,arg68497_arg78629,rr,3f723e391f6fc48fb0c52046239973,-1
20,000,Phenotype is the physical manifestation of an individual's genotype,a2,arg78648,arg68497,arg78648_arg68497,rr,08e4bad90b7521b965ea164814285e,1
21,Phenotype is the physical manifestation of an individual's genotype,a,a1,arg68497,arg78702,arg68497_arg78702,rr,8ea6d35ef00f2b5729baa089d59334,-1
