,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,RF = .117,40 + 32 = 72; 72/617 = 0.117 x 100 = 11.7,a2,arg127877,arg73803,arg127877_arg73803,rr,dd1b4189a8ac774a3a58a6ffd278d1,1
1,40 + 32 = 72; 72/617 = 0.117 x 100 = 11.7,hjnhj,a1,arg73803,arg128041,arg73803_arg128041,rr,b2dc02b7b0620f746fd7977a3e3e63,-1
2,mmmmmmmmmmmm,40 + 32 = 72; 72/617 = 0.117 x 100 = 11.7,a2,arg133079,arg73803,arg133079_arg73803,rr,0a82d2f36cda00b9f5e97c580752ac,1
3,40 + 32 = 72; 72/617 = 0.117 x 100 = 11.7,hhkjlhkj,a1,arg73803,arg134145,arg73803_arg134145,rr,160bdea33fc0de01bc7240ac29693d,-1
4,Dddddrr,40 + 32 = 72; 72/617 = 0.117 x 100 = 11.7,a2,arg135686,arg73803,arg135686_arg73803,rr,14899b064827f55df8c48614f4274f,1
5,40 + 32 = 72; 72/617 = 0.117 x 100 = 11.7,uiop[p,a1,arg73803,arg136811,arg73803_arg136811,wr,4df2f6116d12bcb698b5b6a775933e,-1
6,whatttt,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg137767,arg135153,arg137767_arg135153,wr,1a91f81232778722fa77d9a510dfbe,1
7,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",Based on my knowledge this is the dagger answer that will restore balance to the force.,a1,arg135153,arg206369,arg135153_arg206369,rr,e269d62d6994ccca7aff6fcde30e58,-1
8,the genes are on the same chromosome and are 11.7 cM apart,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg206395,arg135153,arg206395_arg135153,rr,d8fd10340bfb930d8a59e59e51359a,1
9,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",The progeny proportion is skewed and the calculation is (40+32)/(40+32+285+260),a1,arg135153,arg206642,arg135153_arg206642,wr,c5147c1b67c49927d6b7ef44c8749e,-1
10,"The F1 of a dihybrid parental cross are yellow and round seeded pea plants.

The F1 was testcrossed, giving the following results","parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg206685,arg135153,arg206685_arg135153,rr,b7df7271f31c316697bac696957a39,1
11,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM","I'm not sure about the answer I chose, but I think it should be this. the genes are linked, and the distance between them is 48.6 cM",a1,arg135153,arg207326,arg135153_arg207326,wr,9d9a2541f5086bf2dbb958d9100dd8,-1
12,Based on my knowledge this is the dagger answer that will restore balance to the force,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg207465,arg135153,arg207465_arg135153,wr,69226f0b06fd8222b03f9261e554f0,1
13,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",The chromosomes that are linked... are also on the same chromosome... so we should look for the short distance.,a1,arg135153,arg208037,arg135153_arg208037,rr,32cc4976517d556e4bd21531dbde83,-1
14,the answer i choose is my own and i just want to see what others think,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg208720,arg135153,arg208720_arg135153,rr,6aa3141c75207df510466b321af54f,1
15,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM","Linked genes occur on the same chromosome, therefore, tend to be inherited together",a1,arg135153,arg209000,arg135153_arg209000,rr,f0d5d7cc1bb3645de472a5aa1cb5d4,-1
16,because I believe that this is the answer for this specific question,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg209211,arg135153,arg209211_arg135153,wr,41c79593ffb7857a7ac3a97563285b,1
17,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",the genes are on the same chromosome and are 11.7 cM apart,a1,arg135153,arg209370,arg135153_arg209370,rr,72c895b304c0a6e1c658df40cea1e5,-1
18,The genes are linked and the recombinant frequency is 285/617= 0.486cM,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg209554,arg135153,arg209554_arg135153,wr,ba03cf7466624efadbe6242cdda7e3,1
19,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM","The genes should be unlinked, since the RF value is equal to 0.88 centiMorgan.",a1,arg135153,arg209652,arg135153_arg209652,wr,c7193b8efa71596d7f375bc34271f6,-1
20,The RF is 545/617=0.88 so the genes are unlinked. I don't know why I don't have the same numbers as the answers.,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg210422,arg135153,arg210422_arg135153,wr,5f0df47c28d1b11d5e56f5af7732d9,1
21,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM","The F1 of a dihybrid parental cross are yellow and round seeded pea plants.

The F1 was testcrossed, giving the following results

round, yellow 40

round, green 260

wrinkled, yellow 285",a1,arg135153,arg210567,arg135153_arg210567,rr,d52cb885741df004f221c387f1769d,-1
22,"the genes are linked and then we do the formula It fives o,117 X 100% means 11,7 cM appart.","parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg210725,arg135153,arg210725_arg135153,rr,1182fd51f65265d9fa0f215476622e,1
23,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM","The F1 of a dihybrid parental cross are yellow and round seeded pea plants.
The F1 was testcrossed, giving the following results.",a1,arg135153,arg211556,arg135153_arg211556,wr,10ec8e3a50e029f1050a03bbf9710b,-1
24,"The genes are on the same chromosome and the distance between them is 88.3cM...
why is it 11.7 (1-0.883=0.117)??","parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg221685,arg135153,arg221685_arg135153,rr,cbdf7e56687436116cd12da04d726e,1
25,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",WOuldn't they be unlinked? if they were linked there should be more progeny that resemble parental phenotypes.,a1,arg135153,arg222487,arg135153_arg222487,wr,bf9c688799bd0587f7eabab4295383,-1
26,"The F1 of a dihybrid parental cross are yellow and round seeded pea plants.

The F1 was testcrossed, giving the following results","parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg224425,arg135153,arg224425_arg135153,rr,ed7e6b53f4994790ba59aca16b78d6,1
27,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM","Round is dominant R and yellow is dominant Y. so r is wrinkled and y is green. the cross is Rr/Yy * rr/yy. Gametes of F1 should be RY, ry or rY and Ry with recombination. 
y/r=0.13, 
Peas AGAIN",a1,arg135153,arg228980,arg135153_arg228980,rr,2810d543fe5fecbfc494e02a0451fb,-1
28,"A plant of genotype C/C;d/d is crossed to c/c;D/D and an F1 testcrossed to c/c;d/d. If the genes are linked and 40 map units apart, the percentage of c/c;d/d recombinants will be","parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg231769,arg135153,arg231769_arg135153,rr,cf1fe21f7b3dc9be473665c9e08df9,1
29,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM","The maize genes sh and bz are linked, 40 map units apart. If a plant sh + bz/sh bz + is selfed, what proportion of the progeny will be sh bz/sh bz?",a1,arg135153,arg232861,arg135153_arg232861,rr,c765d1c99b80ecdf3f96f19e42f4d4,-1
30,What proportion of the progeny would be expected to be heterozygous for all five genes?,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM",a2,arg234117,arg135153,arg234117_arg135153,rr,0d0905678fc44ce0fdc960b0bb6167,1
31,"parental = Ry and rY 
recombinant = RY and ry
R(r-y) = 40+32/617 (total)
= 0.117 (x100cM)
= 11.7cM","recombinants are the round, green and wrinkled yellow and the total number of these in the F2 generation divided by the total number of offspring is the map distance between them",a1,arg135153,arg237714,arg135153_arg237714,wr,bf82d348d6679b0496a6234f127ba7,-1
