,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,nnnnnnnnnnnnnnnn,NO is 6% and father gives nO always,a2,arg133056,arg129476,arg133056_arg129476,rr,0a82d2f36cda00b9f5e97c580752ac,1
1,NO is 6% and father gives nO always,recombo,a1,arg129476,arg134963,arg129476_arg134963,rr,47bcc3f28dd94412885583182b09a0,-1
2,0.88/2,NO is 6% and father gives nO always,a2,arg135027,arg129476,arg135027_arg129476,wr,2d622cf72648bca831a62b29d9a7ad,1
3,NO is 6% and father gives nO always,????????????,a1,arg129476,arg135180,arg129476_arg135180,wr,4a79fd803f80b607b31480868d553e,-1
4,sdfghjkl;,NO is 6% and father gives nO always,a2,arg135361,arg129476,arg135361_arg129476,wr,299fca65b4a9087fdb025b7f11cf4c,1
5,NO is 6% and father gives nO always,"njkml,;.",a1,arg129476,arg136328,arg129476_arg136328,rr,d22b2724721ba0da929fb42ad2e456,-1
6,"dad gametes are 100% nO so mom needs NO which is a recombinant genotype, one of them so 6%","nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",a2,arg134675,arg133845,arg134675_arg133845,rr,1c50098a7e064131283236308ce026,1
7,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",it needs recombination and the father must be n O so dad needs to be N O.,a1,arg133845,arg198961,arg133845_arg198961,rr,95c14abde7f298ae4cf8da63b92b9e,-1
8,"if woman NA nO (parental type), then 0% probability
if woman NO nA (recombinant type), then 50% probability, so 50% * 12% = 6%","nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",a2,arg205409,arg133845,arg205409_arg133845,rr,a4efbb59c3f3cc914065e25300dae6,1
9,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.","there are 8 possible outcomes if you include the chiasma crossing over events, and only 3 of them are going to result in the illness and Type O blood, two of which are due to recombination events which are less likely to occur",a1,arg133845,arg206168,arg133845_arg206168,wr,5e05f0298a9e34f5f9f7873fc033d8,-1
10,The recombinant frequency is 12%. Therefore the chances of having a baby with NO genotype is 12/2=6%,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",a2,arg206773,arg133845,arg206773_arg133845,rr,7c0a9ed88a944bf19ff11868c06407,1
11,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.","A plant of phenotype A B/a b is testcrossed to a b/a b. In 72% of the meioses, there were no chiasmata between the linked genes; in 28% of the meioses, there was one chiasma between the genes. What proportion of the progeny will be a B/a b?",a1,arg133845,arg206794,arg133845_arg206794,wr,36180e824619c72eb4686ff82b2870,-1
12,"Their first child having Nail-Patella Syndrom and type O blood should have the genotype NO/no, which is 12%/2 = 6% a recombinant","nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",a2,arg207120,arg133845,arg207120_arg133845,rr,9d9a2541f5086bf2dbb958d9100dd8,1
13,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.","A plant of phenotype A B/a b is testcrossed to a b/a b. In 72% of the meioses, there were no chiasmata between the linked genes; in 28% of the meioses, there was one chiasma between the genes. What proportion of the progeny will be a B/a b?",a1,arg133845,arg207473,arg133845_arg207473,rr,51e80df97f8c972a86b8d282e47e5e,-1
14,If the genes are 12 cM apart -> this means that 12/100 progeny are recombinant. This then means that 12% are N O/n O and n A/n O. In order to have Nail-patella and type O they need N O/n O which has a 6% chance.,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",a2,arg208299,arg133845,arg208299_arg133845,rr,5d5c9eeee8f714934b249eebfabd8b,1
15,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.","No possible recombinations because in both genes, the progenies only get the two options of parental alleles.",a1,arg133845,arg208740,arg133845_arg208740,wr,fa903f4baabaadd2e0c8af7ccd2ff6,-1
16,the chance that their child is recombinant and have the syndrome plus the O blood is 6%,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",a2,arg209769,arg133845,arg209769_arg133845,rr,d52cb885741df004f221c387f1769d,1
17,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.","I really dk i am hoping someone does   Ch4 #1,3,12, 13, 14, 15, 18, 19, 20, 29, 30 Ch4 #1,3,12, 13, 14, 15, 18, 19, 20, 29, 30v",a1,arg133845,arg211254,arg133845_arg211254,wr,7017b307af3a32ba313269c26d7413,-1
18,"RF = 12%, so there's 6% chance that the child will have Nail-Patella and 44% chance that the child will have type O blood.","nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",a2,arg215368,arg133845,arg215368_arg133845,rr,6faf803c719243718e98e8e184acb0,1
19,"nA and NO are both recombinant genotypes. the Rf% is 12% here, so for each recombinant option, the chance is 6% that either will occur. thus, the chance the first child will get the NO gamete from the mother.",12% chance of getting crossing over and then half of that to get the correct NO,a1,arg133845,arg216489,arg133845_arg216489,rr,c182e01377768877871d4e31b0bf11,-1
